gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
juxtamediastinal,juxtamediastinal,,,Paramediastinal lung,,,
l,l,,,-,,,
l scapula,left scapula,,,Left scapula,,,
l1,vertebrae,l1,,Body of vertebra,,,
l1 and l2,vertebrae,"l1, l2",,Body of vertebra,,,
l1 vertebra plana,l1 vertebra plana,,,Body of vertebra,,,
l1-l5,vertebrae,l1-l5,,Body of vertebra,,,
l4-5,vertebrae,l4-5,,Body of vertebra,,,
lad,,,,,,,
lateral,lateral,,,lateral,,,
lateral and anterior,"lateral, anterior",,,-,,,
lateral and posterior,"lateral, posterior",,,-,,,
lateral and posterior pleural sinus,"lateral pleural sinus, posterior pleural sinus",,,- && Pleural cavity,Pleural,,Respiratory System
lateral and posterior pleural sinuses,"lateral pleural sinuse, posterior pleural sinuse",,,- && Pleural cavity,Pleural,,Respiratory System
lateral and posterior right side,"lateral right side, posterior right side",,,-,,,
lateral aspect,lateral,,,lateral,,,
lateral aspect of the left hemidiaphragm,left hemidiaphragm,lateral,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
lateral aspect of the right upper lobe,right upper lobe,lateral,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
lateral aspect of the upper right lung,upper right lung,lateral,,Upper zone of lung (C0559286),Lungs,,Respiratory System
lateral aspects of the left hemithorax,left hemithorax,lateral,,Hemithoracic structure,Hemithorax,,Thoracic Structures
lateral chest wall,chest wall,lateral,,Chest wall structure,Chest,,
lateral edge,lateral,,,lateral,,,
lateral inferior costophrenic angles,costophrenic angles,lateral inferior,,Costophrenic angle,,,
lateral left lung,left lung,lateral,,Lung,Lungs,,Respiratory System
lateral left mid lung,left mid lung,lateral,,Middle zone of lung (C0559287),Lungs,,Respiratory System
lateral left upper lung,left upper lung,lateral,,Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
lateral lungs,lungs,lateral,,Lung,Lung,Lungs,Respiratory System
lateral ninth and left ribs,left ribs,lateral ninth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
lateral parts,lateral,,,lateral,,,
lateral pleural sinuses,pleural sinuses,lateral,,Pleural cavity,Pleural,,Respiratory System
lateral right basilar,right basilar,lateral,,Basal segment of lung (C0225704),,,
lateral right costophrenic sulcus,right costophrenic angle,lateral,,Right costodiaphragmatic recess,,,
lateral right lower chest,right lower chest,lateral,,Chest,,,
lateral right lower hemithorax,right hemithorax,lateral lower,,Hemithoracic structure,Hemithorax,,Thoracic Structures
lateral right lung base,right lung base,lateral,,Basal segment of lung (C0225704),Right lungs,Lungs,Respiratory System
lateral right upper hemithorax,right hemithorax,lateral upper,,Hemithoracic structure,Hemithorax,,Thoracic Structures
lateral segment of the right middle lobe,right middle lobe,lateral segment,,Structure of middle lobe of lung,Right lung lobe,,Respiratory System
lateral soft tissues,soft tissues,lateral,,soft tissue,,,
lateral to the left hilus,left hilus,lateral,,left hilum,Hilar,Lung region,Respiratory System
lateral to the right heart border,right heart border,lateral,,Cardiac border,,,
lateral upright chest,chest,lateral upright,,Chest,,,
left,left,,,-,,,
left 11th rib,left rib,11th,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left 8th rib,left rib,8th,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left abdomen,left abdomen,,,Structure of left side of abdomen (C1562302),Abdomen,,Abdominal Structures
left ac joint,left ac joint,,,Acromioclavicular joint structure,,,
left and right,"left, right",,,Bilateral lungs,,,
left and right base,"left base, right base",,,Anatomical base (C2987514),,,
left and right brachiocephalic vein,"left brachiocephalic vein, right brachiocephalic vein",,,Structure of brachiocephalic vein,,,
left and right lung base,"left lung base, right lung base",,,Basal zone of lung (C0734297),Lungs,,Respiratory System
left and right lung bases,"left lung base, right lung base",,,Basal zone of lung (C0734297),Lungs,,Respiratory System
left and right lung zones,"left lung, right lung",,,Lung,Lungs,,Respiratory System
left and right perithoracic,"left perithoracic, right perithoracic",,,Bone structure of thorax,,,
left and upper chest,left upper chest,,,Chest,,,
left anterior,left anterior,,,-,,,
left anterior axillary,left axillary,anterior,,Structure of left axillary region,,,
left anterior descending artery,left anterior descending artery,,,Anterior descending branch of left coronary artery,,,
left apex,left apex,,,Apical zone of lung,Lungs,,Respiratory System
left apex medially,left apex,medially,,Apical zone of lung,Lungs,,Respiratory System
left apical,left apical,,,Apical zone of lung,Lungs,,Respiratory System
left apical area,left apical,,,Apical zone of lung,Lungs,,Respiratory System
left apical lateral,left apical,lateral,,Apical zone of lung,Lungs,,Respiratory System
left apical region,left apical,,,Apical zone of lung,Lungs,,Respiratory System
left aspect,left aspect,,,-,,,
left aspect of the aortic knob,left aortic knob,,,left aortic knob,,,
left atrial,left atrial,,,Entire left atrium,,,
left atrium,left atrium,,,Entire left atrium,,,
left axilla,left axilla,,,Structure of left axillary region,,,
left axillary,left axillary,,,Structure of left axillary region,,,
left axillary region,left axillary region,,,Structure of left axillary region,,,
left axillary/subclavian region,"left axillary, left subclavian",,,Structure of left axillary region && Structure of left subclavian artery,,,
left basal,left basal,,,Basal segment of lung (C0225704),,,
left base,left base,,,Basal segment of lung (C0225704),,,
left base retrocardiac,left base,retrocardiac,,,,,
left basilar,left basilar,,,Basal segment of lung (C0225704),,,
left basilar retrocardiac,left basilar,retrocardiac,,,,,
left border,left border,,,-,,,
left brachiocephalic,left brachiocephalic,,,Left brachiocephalic vein,,,
left brachiocephalic artery,left brachiocephalic artery,,,Brachiocephalic artery Left,,,
left brachiocephalic trunk,left brachiocephalic trunk,,,Trunk of left brachiocephalic vein (C0933699),,,
left brachiocephalic vein,left brachiocephalic vein,,,Left brachiocephalic vein,,,
left brachiocephalic/superior vena cava,"left brachiocephalic, superior vena cava",,,Left brachiocephalic vein (C0501122) && Superior vena cava structure (C0042459),,,
left bronchus,left bronchus,,,Bronchi,,,
left cardiac apex,left cardiac apex,,,Structure of apex of heart,,,
left cardiac border,left cardiac border,,,Cardiac border,,,
left carotid,left carotid,,,Carotid vessel,,,
left cephalic,left cephalic,,,-,,,
left chest,left chest,,,Chest,,,
left chest apex,left chest apex,,,Chest,,,
left chest wall,left chest wall,,,Chest wall structure,Chest,,
left chest wall laterally,left chest wall laterally,,,Left lateral chest wall (C0818150),Chest,,
left clavicle,left clavicle,,,Bone structure of clavicle,Clavicles,,Musculoskeletal System
left clavicular,left clavicular,,,Bone structure of clavicle,Clavicles,,Musculoskeletal System
left clavicular shaft,left clavicular shaft,,,Structure of shaft of clavicle,Clavicles,,Musculoskeletal System
left costophrenic angle,left costophrenic angle,,,Costophrenic angle,,,
left costophrenic sinus,left costophrenic sinus,,,Costophrenic angle,,,
left costophrenic sulcus,left costophrenic sulcus,,,Costophrenic angle,,,
left flank,left flank,,,Structure of left flank,,,
left fourth rib,left rib,fourth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left glenohumeral joint,left glenohumeral joint,,,Left glenohumeral joint,,,
left glenohumeral joints,left glenohumeral joints,,,Left glenohumeral joint,,,
left heart,left heart,,,Left side of heart,,,
left heart border,left heart border,,,Cardiac border,,,
left heart border and aortic lumen junction,left heart border and aortic lumen junction,,,Cardiac border && Structure of lumen of aorta,,,
left hemidiaphragm,left hemidiaphragm,,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
left hemithorax,left hemithorax,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
left hilar,left hilar,,,Hilar,Lung region,,Respiratory System
left hilar area,left hilar area,,,Hilar,Lung region,,Respiratory System
left hilar region,left hilar region,,,Hilar,Lung region,,Respiratory System
left hilar/perihilar,"left hilar, left perihilar",,,Hilar && Structure of perihilar region of lung,Lung region,,Respiratory System
left hilum,left hilum,,,left hilum,Lung region,,Respiratory System
left hilus,left hilus,,,left hilum,Hilar,Lung region,Respiratory System
left humeral,left humeral,,,Left humerus,,,
left ij,left ij,,,Left internal jugular vein,,,
left infrahilar,left infrahilar,,,left infrahilum,,,
left infrahilar regions,left infrahilar regions,,,left infrahilum,,,
left innominate vein,left innominate vein,,,Left brachiocephalic vein,,,
left internal jugular,left internal jugular,,,Left internal jugular vein,,,
left internal jugular vein,left internal jugular vein,,,Left internal jugular vein,,,
left jugular,left jugular,,,Left internal jugular vein,,,
left jugular vein,left jugular vein,,,Left internal jugular vein,,,
left juxta-hilar,left juxta-hilar,,,left juxtahilar region,Lung region,,Respiratory System
left juxtahilar,left juxtahilar,,,left juxtahilar region,,,
left juxtahilar region,left juxtahilar region,,,left juxtahilar region,,,
left lateral,left lateral,,,-,,,
left lateral and posterior,"left lateral, left posterior",,,,,,
left lateral basal lung areas,left basal lung areas,lateral,,Basal segment of lung (C0225704),Lungs,,Respiratory System
left lateral chest wall,left lateral chest wall,,,Left lateral chest wall (C0818150),Chest,,
left lateral costophrenic angle,left costophrenic angle,lateral,,Costophrenic angle,,,
left lateral lung base,left lung base,lateral,,Basal segment of lung (C0225704),Left Lung,Lungs,Respiratory System
left lateral lung zone,left lung zone,lateral,,Lung,,,Respiratory System
left lateral suprahilar lungs,left suprahilar lungs,lateral,,suprahilar,,,Respiratory System
left lingular,left lingular,,,Lingula,,,
left lingular area,left lingular area,,,Lingula,,,
left lobe,left lobe,,,Structure of lobe of lung,,,Respiratory System
left lower,left lower,,,left lower lung zone,,,
left lower chest,left lower chest,,,Chest,,,
left lower hemithorax,left hemithorax,lower,,Hemithoracic structure,,,Thoracic Structures
left lower lobe,left lower lobe,,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe bronchus,left lower lobe,bronchus,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe laterally,left lower lobe,lateral,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe posterior,left lower lobe,posterior,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe region,left lower lobe,,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe retrocardiac,left lower lobe,retrocardiac,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe retrocardiac region,left lower lobe,retrocardiac,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe subpleural,left lower lobe,subpleural,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobe superior segment,left lower lobe,superior segment,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left lower lobes,left lower lobes,,,Structure of lower lobe of lung,Left lung,Lungs,Respiratory System
left lower lung,left lower lung,,,Lower zone of lung (C0559288),,,Respiratory System
left lower lung base,left lower lung,base,,Lower zone of lung (C0559288),,,Respiratory System
left lower lung field,left lower lung field,,,Lower zone of lung (C0559288),,,Respiratory System
left lower mediastinal contour,left lower mediastinal contour,,,Mediastinum,,,
left lower peripheral,left lower,peripheral,,left lower lung zone,,,
left lower rib,left rib,lower,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left lower zone,left lower,,,left lower lung zone,,,
left lung,left lung,,,Lung,,,Respiratory System
left lung apex,left lung apex,,,Apical zone of lung,,,Respiratory System
left lung base,left lung base,,,Basal segment of lung (C0225704),Left Lung,Lungs,Respiratory System
left lung bases,left lung bases,,,Basal segment of lung (C0225704),,,Respiratory System
left lung peripherally,left lung,peripherally,,Lung,,,Respiratory System
left lung periphery,left lung,periphery,,Lung,,,Respiratory System
left major fissure,left major fissure,,,Major fissure (C0929208),Lung,,Respiratory System
left mediastinal,left mediastinal,,,Mediastinum,,,
left mediastinal contour,left mediastinal contour,,,Mediastinum,,,
left mediastinum,left mediastinum,,,Mediastinum,,,
left mid and lower lobe,"left mid lobe, left lower lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,,,Respiratory System
left mid and lower lung,"left mid lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left mid and lower lung fields,"left mid lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left mid and lower lung region,"left mid lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left mid and lower lung zones,"left mid lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left mid and lower lungs,"left mid lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left mid and upper zones,"left mid, left upper",,,left mid lung zone && left upper lung zone,,,
left mid chest,left mid chest,,,Chest,,,
left mid clavicular,left mid clavicular,,,Bone structure of clavicle,,,Musculoskeletal System
left mid lobe,left mid lobe,,,-,,,Respiratory System
left mid lower lobe,left lower lobe,mid,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
left mid lung,left mid lung,,,Middle zone of lung (C0559287),,,Respiratory System
left mid lung field,left mid lung field,,,Middle zone of lung (C0559287),,,Respiratory System
left mid lung laterally,left mid lung,laterally,,Middle zone of lung (C0559287),,,Respiratory System
left mid lung zone,left mid lung zone,,,Middle zone of lung (C0559287),,,Respiratory System
left mid posterior,left mid,posterior,,-,,,
left mid shaft,left mid shaft,,,-,,,
left mid thoracic spine,left mid thoracic spine,,,Thoracic spine structure,,,Skeletal System
left mid to lower lung,left lung,mid to lower,,Lung,,,Respiratory System
left mid to upper lung,left lung,mid to upper,,Lung,,,Respiratory System
left mid upper lung,left lung,mid upper,,Lung,,,Respiratory System
left mid zone,left mid zone,,,left mid lung zone,,,
left mid-lower lung,left lung,mid-lower,,Lung,,,Respiratory System
left mid-to-lower lung,left lung,mid-to-lower,,Lung,,,Respiratory System
left mid-to-lower lung fields,left lung,mid-to-lower,,Lung,,,Respiratory System
left mid/shaft,left mid/shaft,,,-,,,
left middle and lower lung,"left middle lung, left lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
left middle lung,left middle lung,,,Middle zone of lung (C0559287),,,Respiratory System
left middle ribs posteriorly,left ribs,middle posteriorly,,Bone structure of rib,Ribs,,Musculoskeletal System
left midlung,left midlung,,,left mid lung zone,,,
left mild lung,left lung,mild,,Lung,,,Respiratory System
left of midline,left midline,,,-,,,
left of the trachea along the aortic arch,left of the trachea,along the aortic arch,,Trachea,,,Respiratory System
left paraspinal region in the abdomen,left paraspinal region in the abdomen,,,Structure of subregion of abdomen (C1720043),,,Abdominal Structures
left parietal,left parietal,,,-,,,
left pectoral,left pectoral,,,Pectoral region structure,,,
left pectoral generator,left pectoral generator,,,-,,,
left perihilar,left perihilar,,,Structure of perihilar region of lung,,,
left perihilar and basilar,"left perihilar, basilar",,,Structure of perihilar region of lung && Basal segment of lung (C0225704),,,
left perihilar areas,left perihilar areas,,,Structure of perihilar region of lung,,,
left perihilar mid-to-lower lung,left perihilar lung,mid-to-lower,,Structure of perihilar region of left lung (C0225738),,,Respiratory System
left perihilar region,left perihilar region,,,Structure of perihilar region of lung,,,
left pleural,left pleural,,,Pleura,,,Respiratory System
left pneumectomy cavity,left pneumectomy cavity,,,Pneumonectomy,,,
left posterior,left posterior,,,-,,,
left posterior 6th rib,left rib,posterior 6th,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left posterior 7th rib,left rib,posterior 7th,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left posterior costophrenic,left posterior costophrenic,,,Costophrenic angle,,,
left posterior costophrenic angle,left posterior costophrenic angle,,,Costophrenic angle,,,
left posterior rib,left rib,posterior,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left posterior third rib,left rib,posterior third,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left posteriorly,left posteriorly,,,-,,,
left posterolateral third rib,left rib,posterolateral third,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left predominant,left,predominant,,-,,,
left retrocardiac,left retrocardiac,,,-,,,
left retrocardiac region,left retrocardiac region,,,-,,,
left rib,left rib,,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left ribcage,left ribcage,,,Rib Cage,,,Musculoskeletal System
left shoulder girdle,left shoulder girdle,,,Bone structure of left shoulder girdle,,,Adjacent Structures
left side,left side,,,-,,,
left side of chest,left side of chest,,,Chest,,,
left sided,left sided,,,-,,,
left sixth rib,left rib,sixth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
left soft tissues,left soft tissues,,,soft tissue,,,
left subclavian,left subclavian,,,left subclavian,,,
left subclavian and brachiocephalic vessels,"left subclavian vessel, left brachiocephalic vessel",,,"left subclavian && Left brachiocephalic vein (C0501122)
",,,
left subclavian artery,left subclavian artery,,,Structure of left subclavian artery,,,
left subclavian vein,left subclavian vein,,,Structure of left subclavian vein,,,
left subclavian vein stent,,,,,,,
left superior,left superior,,,-,,,
left superior mediastinal,mediastinal,left superior,,Mediastinum,,,
left superior vena cava,left superior vena cava,,,Left superior vena cava,,,
left superior vena cava to the right ventricular apex,left superior vena cava,to the right ventricular apex,,Left superior vena cava,,,
left supra hilar lung,left supra hilar lung,,,suprahilar,,,Respiratory System
left suprahilar,left suprahilar,,,-,,,
left suprahilar area,left suprahilar area,,,-,,,
left suprahilar region,left suprahilar region,,,-,,,
left svc,left svc,,,Left superior vena cava,,,
left third and fourth rib space,left rib space,third,fourth,Cavity of rib (C2334954),,,Musculoskeletal System
left thorax,left thorax,,,Bone structure of thorax,,,
left trachea,left trachea,,,Trachea,,,Respiratory System
left trachea at the level of the clavicles,left trachea,level of the clavicles,,Trachea,,,Respiratory System
left upper,left upper,,,Structure of upper lobe of lung,,,
left upper abdomen,left upper abdomen,,,Structure of left upper quadrant of abdomen (C0230179),,,Abdominal Structures
left upper abdominal quadrant,left upper abdominal quadrant,,,Structure of left upper quadrant of abdomen (C0230179),,,Abdominal Structures
left upper and bilateral lower lung fields,"left upper lung, bilateral lower lung",,,Upper zone of lung (C0559286) && Lower zone of lung (C0559288),Left Lung,Lungs,Respiratory System
left upper and lower zones,"left upper zone, left lower zone",,,left upper lung zone && left lower lung zone,,,Respiratory System
left upper and mid,"left upper, left mid",,,left upper lung zone && -,,,
left upper and mid lung,"left upper lung, left mid lung",,,Middle zone of lung (C0559287) && Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
left upper chest wall,left upper chest wall,,,Chest wall structure,Chest,,
left upper extremity,left upper extremity,,,Upper Extremity,,,
left upper hemithorax,left hemithorax,upper,,Hemithoracic structure,,,Thoracic Structures
left upper lobe,left upper lobe,,,Structure of upper lobe of lung,,,Respiratory System
left upper lobe apical segment,left upper lobe,apical segment,,Structure of upper lobe of lung,,,Respiratory System
left upper lobe lateral to the left hilum,left upper lobe,lateral to the left hilum,,Structure of upper lobe of lung,,,Respiratory System
left upper lobe lingula,left upper lobe,lingula,,Structure of upper lobe of lung,,,Respiratory System
left upper lobe paramediastinal,left upper lobe,paramediastinal,,Structure of upper lobe of lung,,,Respiratory System
left upper lung,left upper lung,,,Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
left upper lung field,left upper lung field,,,Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
left upper lung perihilar,left upper lung,perihilar,,Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
left upper lung zone,left upper lung zone,,,Upper zone of lung (C0559286),Left Lung,Lungs,Respiratory System
left upper mediastinum,left upper mediastinum,,,Mediastinum,,,
left upper pleural,left upper pleural,,,Pleura (C0032225),,,Respiratory System
left upper quadrant,left upper quadrant,,,Structure of left upper quadrant of abdomen,,,
left upper quadrant of abdomen,left upper quadrant of abdomen,,,Structure of left upper quadrant of abdomen (C0230179),,,Abdominal Structures
left upper quadrant of the abdomen,left upper quadrant of the abdomen,,,Structure of left upper quadrant of abdomen (C0230179),,,Abdominal Structures
left upper to mid lung,left lung,upper to mid,,Lung,,,Respiratory System
left upper zone,left upper zone,,,Structure of upper lobe of lung,,,
left upper-to-mid lung,left lung,upper-to-mid,,Lung,,,Respiratory System
left upper-to-mid lung zone,left lung zone,upper-to-mid,,Lung,,,Respiratory System
left ventricle,left ventricle,,,Left ventricular structure,,,
left ventricular,left ventricular,,,Left ventricular structure,,,
left-side,left-side,,,-,,,
left-sided,left-sided,,,-,,,
left-sided basal,left-sided basal,,,Basal segment of lung (C0225704),,,
left-sided chest wall,left-sided chest wall,,,Chest wall structure,Chest,,
left-sided diaphragm,left-sided diaphragm,,,Left Portion of the Diaphragm,,,Abdominal Structures
left-sided hemithorax,left-sided hemithorax,,,Hemithoracic structure,,,Thoracic Structures
left-sided lateral pleural sinus,left-sided pleural sinus,lateral,,Pleural cavity (C0178802),,,Respiratory System
left-sided svc,left-sided svc,,,Left superior vena cava,,,
left-sided svc placement,left-sided svc,,,Left superior vena cava,,,
leftward,leftward,,,-,,,
leftward of midline,leftward midline,,,-,,,
leftward shift,,,,,,,
level of cavoatrial junction,cavoatrial junction,,,cavoatrial junction,,,
level of superior svc,svc,superior,,Superior vena cava structure,,,
level of the aortic arch,aortic arch,,,Aortic arch structure,,,
level of the carina,carina,,,Structure of carina,,,Respiratory System
level of the cavoatrial junction,cavoatrial junction,,,cavoatrial junction,,,
level of the clavicular,clavicular,,,Bone structure of clavicle,,,Musculoskeletal System
level of the sixth anterior rib,rib,sixth anterior,,Bone structure of rib,Ribs,Ribs,Musculoskeletal System
ligament of treitz,ligament of treitz,,,-,,,
likely l1,vertebrae,l1,,Body of vertebra,,,
lingula,lingula,,,Lingula,,,
lingular,lingular,,,Lingula,,,
low abdominal,low abdominal,,,Structure of lower abdominal quadrant (C0230184),,,Abdominal Structures
low lung,low lung,,,Lower zone of lung (C0559288),,,Respiratory System
low right axilla,right axilla,low,,Structure of right axillary region,,,
low svc,svc,low,,Superior vena cava structure,,,
low thoracic spine,thoracic spine,low,,Thoracic spine structure,,,Skeletal System
low thoracic/upper lumbar vertebral bodies,"thoracic vertebral bodies, lumbar vertebral bodies",low,upper,Bone structure of thoracic vertebra (C0039987) && Structure of body of lumbar vertebra,,,
lower,lower,,,Lower body structure,,,
lower abdomen,lower abdomen,,,Structure of lower abdominal quadrant (C0230184),,,Abdominal Structures
lower and middle lobes,"lower lobe, middle lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,,,Respiratory System
lower and middle lobes bilaterally,"lower lobe bilaterally, middle lobe bilaterally",,,Structure of middle lobe of lung && Structure of lower lobe of lung,,,Respiratory System
lower area,lower,,,Lower body structure,,,
lower bodies of the stomach,bodies of the stomach,lower,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
lower c-spine,c-spine,lower,,Cervical spine,,,Skeletal System
lower cervical spine,cervical spine,lower,,Cervical spine,,,Skeletal System
lower esophagus,esophagus,lower,,Esophagus,,,
lower extremity,lower extremity,,,Lower Extremity,,,
lower half of the left chest,left chest,lower half,,Chest,,,
lower lateral chest wall,chest wall,lower lateral,,Chest wall structure,Chest,,
lower left hemithorax,left hemithorax,lower,,Hemithoracic structure,,,Thoracic Structures
lower left lung,lower left lung,,,Lower zone of lung (C0559288),,,Respiratory System
lower left superior vena cava,left superior vena cava,lower,,Left superior vena cava,,,
lower lobe,lower lobe,,,Structure of lower lobe of lung,,Lungs,Respiratory System
lower lobe probably left,left lower lobe,,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
lower lobes,lower lobes,,,Structure of lower lobe of lung,,Lungs,Respiratory System
lower lobes bilaterally,lower lobes bilaterally,,,Structure of lower lobe of lung,Bilateral lung,Lungs,Respiratory System
lower lumbar spine,lumbar spine,lower,,Lumbar spine structure,,,Skeletal System
lower lung,lower lung,,,Lower zone of lung (C0559288),,,Respiratory System
lower lung field,lower lung field,,,Lower zone of lung (C0559288),,,Respiratory System
lower lung fields,lower lung fields,,,Lower zone of lung (C0559288),,,Respiratory System
lower lung fields bilaterally,lung fields bilaterally,lower,,Lung,,,
lower lung zones,lower lung zones,,,Lower zone of lung (C0559288),,,Respiratory System
lower lungs,lower lungs,,,Lower zone of lung (C0559288),,,Respiratory System
lower lungs laterally,lower lungs,laterally,,Lower zone of lung (C0559288),,,Respiratory System
lower margin of the clavicles,clavicles,lower margin,,Bone structure of clavicle,,,Musculoskeletal System
lower medial clavicular heads,lower medial clavicular heads,,,Bone structure of clavicle,,,Musculoskeletal System
lower mediastinum,mediastinum,lower,,Mediastinum,,,
lower portion of the cervical spine,cervical spine,lower,,Cervical spine,,,Skeletal System
lower portion of the mediastinum,mediastinum,lower,,Mediastinum,,,
lower portion of the right hemithorax,right hemithorax,lower,,Hemithoracic structure,,,Thoracic Structures
lower portion of the svc,svc,lower,,Superior vena cava structure,,,
lower right,lower right,,,Lower zone of lung (C0559288),Lungs,Lungs,
lower right atrium towards the ivc junction,lower right atrium,towards the ivc junction,,Structure of low right atrium (C0456956),,,
lower right chest,right chest,lower,,Right side of chest,Chest,,
lower right hemithorax,right hemithorax,lower,,Hemithoracic structure,,,Thoracic Structures
lower right hilus,right hilus,lower,,right hilum,Hilar,Lung region,Respiratory System
lower superior vena cava,superior vena cava,lower,,Superior vena cava structure,,,
lower svc,svc,lower,,Superior vena cava structure,,,
lower svc/cavoatrial junction,svc/cavoatrial junction,lower,,Superior vena cava structure && cavoatrial junction,,,
lower t-spine,t-spine,lower,,Thoracic spine structure,,,Skeletal System
lower thoracic,thoracic,lower,,Bone structure of thorax,,,
lower thoracic and upper lumbar region,"lower thoracic, upper lumbar",,,Thoracic region (surface region of back) (C1456859) && Lumbar Region,,,
lower thoracic esophagus,thoracic esophagus,lower,,Thoracic esophagus,,,
lower thoracic levels,thoracic,lower,,Bone structure of thorax,,,
lower thoracic spine,thoracic spine,lower,,Thoracic spine structure,,,Skeletal System
lower thoracic vertebral bodies,thoracic vertebral bodies,lower,,Structure of body of thoracic vertebra,,,
lower thoracic/lumbar spine,"thoracic spine, lumbar spine",lower,,Thoracic spine structure (C0581269) && Lumbar spine structure,,,
lower thorax,thorax,lower,,Bone structure of thorax,,,
lumbar spine,lumbar spine,,,Lumbar spine structure,,,Skeletal System
lumbar vertebral bodies,lumbar vertebral bodies,,,Structure of body of lumbar vertebra,,,
lung,lung,,,Lung,Lung,Lungs,Respiratory System
lung apex,lung apex,,,Apical zone of lung,,,Respiratory System
lung apices,lung apices,,,Apical zone of lung,,,Respiratory System
lung apices bilaterally,lung bilaterally,apices,,Lung,,,
lung base,lung base,,,Basal segment of lung (C0225704),,,Respiratory System
lung bases,lung bases,,,Basal segment of lung (C0225704),,,Respiratory System
lung bases bilaterally,lung bases bilaterally,,,Basal zone of lung (C0734297),,,
lung fields,lung fields,,,Lung,,,Respiratory System
lung parenchyma,lung parenchyma,,,Structure of parenchyma of lung (C0819757),,,Respiratory System
lung periphery,lung,periphery,,Lung,Lung,Lungs,Respiratory System
lungs,lungs,,,Lung,Lung,Lungs,Respiratory System
lungs bilaterally,lungs bilaterally,,,Lung,,,
major fissure,major fissure,,,Major fissure (C0929208),Lung,,Respiratory System
major fissure on the right,major fissure on the right,,,Major fissure (C0929208),Lung,,Respiratory System
major fissures,major fissures,,,Major fissure (C0929208),Lung,,Respiratory System
manubrium,manubrium,,,Bone structure of manubrium,,,
manubrium and upper bodies,"manubrium, upper bodies",,,Bone structure of manubrium && Upper body structure,,,
medial,medial,,,-,,,
medial aspect,medial,,,-,,,
medial aspect of the left lung,medial aspect of the left lung,,,Middle zone of lung (C0559287),,,Respiratory System
medial aspect of the left lung apex,left lung apex,medial,,Apical zone of lung,,,Respiratory System
medial aspect of the right apex,right apex,medial,,Apical zone of lung,,,Respiratory System
medial aspect of the right upper lobe,right upper lobe,medial,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
medial bilateral upper lobes,bilateral upper lobes,medial,,Structure of upper lobe of lung,,,Respiratory System
medial left clavicle,left clavicle,medial,,Bone structure of clavicle,,,Musculoskeletal System
medial left diaphragm,left diaphragm,medial,,Left Portion of the Diaphragm,,,Abdominal Structures
