raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
blunting of the right costophrenic angle,blunting,blunting,injury,pathophysiologic finding,LF
blunting of the right costophrenic sinus,blunting,blunting,injury,pathophysiologic finding,LF
blunting of the right costophrenic sulcus,blunting,blunting,injury,pathophysiologic finding,LF
blunting of the right posterior pleural sulcus,blunting,blunting,injury,pathophysiologic finding,LF
bone density,density,density,,,LF
bone structure,bone structure,bone structure,bone,anatomy,LF
bones,bones,bones,bone,anatomy,LF
"bony abnormality, bony abnormalities",abnormalities,abnormality,abnormal,normality,LF
bony findings,findings,finding,,imaging observation,LF
bony lesions,lesions,lesion,enhancement,imaging observation,PF
bony structures,bony structures,bone structure,bone,anatomy,LF
bony structure,bony structure,bone structure,bone,anatomy,LF
bony thorax,bony thorax,bony thorax,,anatomy,LF
both lungs,both lungs,both lung,lung zone,anatomy,LF
bridging,bridging,bridging,,,LF
broken ribs,ribs,rib,bone,anatomy,LF
bronchial walls,bronchial wall,bronchial wall,anatomic sub-part,anatomy,LF
bronchial wall thickening,thickening,thickening,growth disorder,pathophysiologic finding,LF
bronchovascular crowding,crowding,crowding,,,LF
bronchovascular markings,bronchovascular markings,bronchovascular marking,,,LF
bronchovascular structures,bronchovascular structures,bronchovascular structure,,anatomy,LF
bulge,bulge,bulge,,,LF
bulging contour of the right mid mediastinum,contour,contour,anatomic sub-part,anatomy,LF
calcific density,density,density,,imaging observation,LF
calcific densities,densities,density,,imaging observation,LF
calcific focus,focus,focus,enhancement,imaging observation,LF
calcified aorta,aorta,aorta,,anatomy,LF
calcified aortic arch,aortic arch,aortic arch,,anatomy,LF
calcified aorticopulmonary window lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
calcified ap window node,node,lymph node,cardinal organ part,anatomy,LF
calcified hilar lymph nodes,lymph nodes,lymph node,cardinal organ part,anatomy,LF
calcified hilar nodes,nodes,lymph node,cardinal organ part,anatomy,LF
calcified left suprahilar lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
calcified lymph nodes,lymph nodes,lymph node,cardinal organ part,anatomy,LF
calcified lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
calcified mediastinal lymph nodes,lymph nodes,lymph node,cardinal organ part,anatomy,LF
calcified mediastinal nodes,nodes,lymph node,cardinal organ part,anatomy,LF
calcified nodes,nodes,lymph node,cardinal organ part,anatomy,LF
calcified node,node,lymph node,cardinal organ part,anatomy,LF
calcified ovoid structure,ovoid structure,ovoid structure,,anatomy,LF
calcified prevascular lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
calcified vessels,vessels,vessel,cardinal organ part,anatomy,LF
caliber of the mediastinum,caliber,caliber,measurement,imaging observation,LF
caliber of the right paratracheal stripe,caliber,caliber,measurement,imaging observation,LF
callus formation,callus,callus,,,LF
cardiac,cardiac,cardiac,organ,anatomy,LF
cardiac and mediastinal contours,contours,contour,anatomic sub-part,anatomy,LF
cardiac contours,contours,contour,anatomic sub-part,anatomy,LF
cardiac contour,contour,contour,anatomic sub-part,anatomy,LF
cardiac enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
cardiac findings,findings,finding,,imaging observation,LF
cardiac shadow viewed radiologically,shadow,shadow,,imaging observation,LF
cardiac silhouette,silhouette,silhouette,imaging sign,imaging observation,LF
cardiac silhouettes,silhouettes,silhouette,imaging sign,imaging observation,LF
cardiac silhouette enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
cardiac silhouette size,size,size,measurement,imaging observation,LF
cardiac silhouette size and configuration,size and configuration,size and configuration,measurement,imaging observation,LF
cardiac size,size,size,measurement,imaging observation,LF
cardiac structures,cardiac structures,heart,organ,anatomy,LF
cardio mediastinal borders,borders,border,anatomic sub-part,anatomy,LF
cardio mediastinal silhouette,silhouette,silhouette,imaging sign,imaging observation,LF
cardiomediastinal,cardiomediastinal,cardiomediastinum,organ,anatomy,LF
cardiomediastinal borders,borders,border,anatomic sub-part,anatomy,LF
cardiomediastinal configuration,configuration,configuration,,,LF
cardiomediastinal contours,contours,contour,anatomic sub-part,anatomy,LF
cardiomediastinal contour,contour,contour,anatomic sub-part,anatomy,LF
cardiomediastinal shift,cardiomediastinal shift,cardiomediastinal shift,,,LF
cardiomediastinal silhouette,silhouette,silhouette,imaging sign,imaging observation,LF
cardiomediastinal structures,cardiomediastinal structures,cardiomediastinal structure,organ,anatomy,LF
cardiomediastinal widening,widening,widening,growth disorder,pathophysiologic finding,LF
cardiomediastinum,cardiomediastinum,cardiomediastinum,organ,anatomy,LF
cardiopulmonary abnormality,abnormality,abnormality,abnormal,normality,LF
cardiopulmonary abnormalities,abnormalities,abnormality,abnormal,normality,LF
cardiopulmonary findings,findings,finding,,,LF
cardiopulmonary pathology,pathology,pathology,,,LF
cardiovascular abnormalities,abnormalities,abnormality,abnormal,normality,LF
carina,carina,carina,organ,anatomy,LF
cavitary lesions,lesions,lesion,enhancement,imaging observation,PF
cavitary lesion,lesion,lesion,enhancement,imaging observation,LF
cavitary pulmonary lesion,lesion,lesion,enhancement,imaging observation,LF
central denser opacity,opacity,opacity,opacity,procedure,LF
central lymph node enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
central pulmonary vasculature,central pulmonary vasculature,central pulmonary vasculature,,anatomy,LF
central pulmonary vessels,central pulmonary vessels,central pulmonary vessel,cardinal organ part,anatomy,LF
central pulmonary vessel prominence,prominence,prominence,enhancement,imaging observation,LF
central vascular enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
cephalization,cephalization,cephalization,,,LF
cephalization of the pulmonary vascularity,cephalization,cephalization,,,LF
cephalization of the pulmonary vasculature,cephalization,cephalization,,,LF
cephalization of the pulmonary vessels,cephalization,cephalization,,,LF
cephalization of the upper lobe pulmonary vasculature,cephalization,cephalization,,,LF
cephalization of the vasculature,cephalization,cephalization,,,LF
cervical rib,cervical rib,cervical rib,bone,anatomy,LF
changes,changes,change,,imaging observation,LF
change,change,change,,imaging observation,LF
changes in opacity,changes in opacity,changes in opacity,change,process,LF
changes in the lungs,changes,change,,imaging observation,LF
change in the right humeral head,change,change,,imaging observation,LF
chest,chest,chest,,anatomy,LF
chest abnormality,abnormality,abnormality,abnormal,normality,LF
chest abnormalities,abnormalities,abnormality,abnormal,normality,LF
chest appearance,appearance,appearance,,,LF
chest diameter,diameter,diameter,,,LF
chest findings,findings,finding,,,LF
chest wall,chest wall,chest wall,anatomic sub-part,anatomy,LF
chronic abnormalities,abnormalities,abnormality,abnormal,normality,LF
chronic abnormality,abnormality,abnormality,abnormal,normality,LF
chronic changes,changes,change,,,LF
chronic findings,findings,finding,,,LF
chronic lung changes,changes,change,,,LF
clearing,clearing,clearing,,,LF
clearing of the right base,clearing,clearing,,,LF
cluster of elliptical opacities,opacities,opacity,opacity,procedure,LF
coalescent areas,areas,area,,,LF
coarsened interstitial markings,interstitial markings,interstitial marking,,,LF
coarseness of interstitial markings,interstitial markings,interstitial marking,,,LF
collapse,collapse,collapse,,,LF
collapsed,collapsed,collapsed,,,LF
collapsed lung,lung,lung,lung zone,anatomy,LF
collapsed right,right,right,,,LF
collapsed right lower lobe,right lower lobe,right lower lobe,anatomic sub-part,anatomy,LF
collapsed right lung,right lung,right lung,lung zone,anatomy,LF
colon,colon,colon,,anatomy,LF
component,component,component,,,LF
configuration of the aorta,configuration,configuration,,,LF
configuration of the thoracic aorta,configuration,configuration,,,LF
configurational abnormalities,abnormalities,abnormality,abnormal,normality,LF
confluent opacity,opacity,opacity,opacity,procedure,LF
consolidated lung,lung,lung,lung zone,anatomy,LF
consolidated right middle lobe,right middle lobe,right middle lobe,anatomic sub-part,anatomy,LF
consolidative opacification,opacification,opacification,opacity,procedure,LF
consolidative opacity,opacity,opacity,opacity,procedure,LF
contour of right hemidiaphragm,contour,contour,anatomic sub-part,anatomy,LF
contours of the left hilus,contours,contour,anatomic sub-part,anatomy,LF
contour of the lung base,contour,contour,anatomic sub-part,anatomy,LF
contour of the right hemidiaphragm,contour,contour,anatomic sub-part,anatomy,LF
convexity,convexity,convexity,,,LF
cortical margin,cortical margin,cortical margin,,,LF
costophrenic angle,costophrenic angle,costophrenic angle,anatomical boundary,anatomy,LF
costophrenic angles,costophrenic angles,costophrenic angles,anatomical boundary,anatomy,LF
costophrenic angle blunting,blunting,blunting,anatomical boundary,anatomy,LF
costophrenic sinuses,costophrenic sinuses,costophrenic sinuses,anatomical boundary,anatomy,LF
costophrenic sinus,costophrenic sinus,costophrenic sinus,anatomical boundary,anatomy,LF
costophrenic sulci,costophrenic sulci,costophrenic sulci,anatomical boundary,anatomy,LF
costophrenic sulcus,costophrenic sulcus,costophrenic sulcus,anatomical boundary,anatomy,LF
costopleural surfaces,costopleural surfaces,costopleural surface,anatomical boundary,anatomy,LF
crowding of bronchovascular markings,crowding,crowding,,imaging observation,LF
crowding of bronchovascular structures,crowding,crowding,,imaging observation,LF
crowding of pulmonary vessels,crowding,crowding,,imaging observation,LF
crowding of the bronchovascular markings,crowding,crowding,,imaging observation,LF
crowding of the bronchovascular structures,crowding,crowding,,imaging observation,LF
crowding of the perihilar vasculature,crowding,crowding,,imaging observation,LF
crowding of the pulmonary vasculature,crowding,crowding,,imaging observation,LF
crowding of the vascular and bronchial structures,crowding,crowding,,imaging observation,LF
crowding of vasculature,crowding,crowding,,imaging observation,LF
crowding of vessels,crowding,crowding,,imaging observation,LF
curvature,curvature,curvature,,imaging observation,LF
curvature of the thoracic spine,curvature,curvature,,imaging observation,LF
curvilinear density,density,density,,imaging observation,LF
curvilinear lucency,lucency,lucency,,imaging observation,LF
decrease in volume of the left hemithorax,volume,volume,measurement,imaging observation,LF
decrease of the right hemithorax,decrease,decrease,,imaging observation,LF
decreased visibility of the left hemidiaphragm,visibility,visibility,,imaging observation,LF
dense opacity,opacity,opacity,opacity,procedure,LF
dense pleural thickening,thickening,thickening,growth disorder,pathophysiologic finding,LF
dense retrocardiac density,density,density,,imaging observation,LF
density,density,density,,imaging observation,LF
densities,density,density,,imaging observation,LF
density and opacities,density and opacity,density and opacity,opacity,procedure,LF
density of opacification,density of opacification,density of opacification,opacity,procedure,LF
descending aorta,descending aorta,descending aorta,,anatomy,LF
descending thoracic aorta,descending thoracic aorta,descending thoracic aorta,,anatomy,LF
destruction,destruction,destruction,,,LF
destructive lesion,lesion,lesion,enhancement,imaging observation,LF
deviation of the cardiomediastinal silhouette,deviation,deviation,,imaging observation,LF
deviation of the mediastinum,deviation,deviation,,imaging observation,LF
deviation of the superior trachea,deviation,deviation,,imaging observation,LF
deviation of the trachea,deviation,deviation,,imaging observation,LF
diaphragms,diaphragms,diaphragm,organ,anatomy,LF
diaphragm elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
diaphragmatic contours,contours,contour,anatomic sub-part,anatomy,LF
diaphragmatic contour,contour,contour,anatomic sub-part,anatomy,LF
diaphragmatic elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
diffuse abnormalities,abnormalities,abnormality,abnormal,normality,LF
diffuse airspace opacities,opacities,opacity,opacity,procedure,LF
diffuse densities,densities,density,,imaging observation,LF
diffuse infiltrative and interstitial opacities,interstitial opacities,interstitial opacity,opacity,procedure,LF
diffuse interstitial abnormality,interstitial abnormality,interstitial abnormality,abnormal,normality,LF
diffuse interstitial abnormalities,interstitial abnormalities,interstitial abnormality,abnormal,normality,LF
diffuse interstitial opacity,interstitial opacity,interstitial opacity,opacity,procedure,LF
diffuse opacification,opacification,opacification,opacity,procedure,LF
diffusion,diffusion,diffusion,,imaging observation,LF
dilatation of the hilar and peripheral pulmonary vasculature,dilatation,dilation,architectural distortion,pathophysiologic finding,LF
dilatation of the main pulmonary artery,dilatation,dilation,architectural distortion,pathophysiologic finding,LF
dilatation of the trachea,dilatation,dilation,architectural distortion,pathophysiologic finding,LF
dilated airways,airways,airways,architectural distortion,pathophysiologic finding,LF
dilated aortic arch,aortic arch,aortic arch,,anatomy,LF
dilated distal esophagus,distal esophagus,distal esophagus,,anatomy,LF
dilated esophagus,esophagus,esophagus,,anatomy,LF
dilated fluid-filled esophagus,fluid-filled esophagus,fluid-filled esophagus,architectural distortion,pathophysiologic finding,LF
dilated pulmonary arteries,pulmonary arteries,pulmonary artery,,anatomy,LF
disease progression,disease progression,disease progression,,imaging observation,LF
displacement,displacement,displacement,,imaging observation,LF
displacement of the trachea,displacement,displacement,,imaging observation,LF
disruption in the air column,disruption,disruption,,imaging observation,LF
disruption of the right bronchial air column,disruption,disruption,,imaging observation,LF
distended bowel,bowel,bowel,,anatomy,LF
distended stomach,stomach,stomach,stomach,anatomy,LF
distension vasculature,distension,distension,growth disorder,pathophysiologic finding,LF
distention of mediastinal veins,distension,distension,growth disorder,pathophysiologic finding,LF
distention of the azygos,distention,distention,growth disorder,pathophysiologic finding,LF
distention of the azygos vein,distention,distention,growth disorder,pathophysiologic finding,LF
distention of the azygous vein,distention,distention,growth disorder,pathophysiologic finding,LF
distention of the neoesophagus,distention,distention,growth disorder,pathophysiologic finding,LF
distortion,distortion,distortion,,imaging observation,LF
distortion of vascular and airway structures,distortion,distortion,,imaging observation,LF
downward displacement,displacement,displacement,,,LF
effacement of the aortopulmonic window,effacement,effacement,,,LF
effacement of the right heart border,effacement,effacement,,,LF
elevated and enlarged right hilus,right hilus,right hilum,anatomical space,anatomy,LF
elevated hemidiaphragm,hemidiaphragm,hemidiaphragm,organ,anatomy,LF
elevated left diaphragm,left diaphragm,left diaphragm,organ,anatomy,LF
elevated left hemidiaphragm,left hemidiaphragm,left hemidiaphragm,organ,anatomy,LF
elevated position of the right-sided diaphragm,position of the right-sided diaphragm,position of the right-sided diaphragm,organ,anatomy,LF
elevated right hemidiaphragm,right hemidiaphragm,right hemidiaphragm,organ,anatomy,LF
elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of bilateral hemidiaphragms,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of left hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of right hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the hemidiaphragms,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the left hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the left-sided hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right diaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right hemidiaphragmatic contour,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right hilum,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right hilus,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation of the right lung base,elevation,elevation,growth disorder,pathophysiologic finding,LF
elevation right hemidiaphragm,elevation,elevation,growth disorder,pathophysiologic finding,LF
"elevation, right lung base",elevation,elevation,growth disorder,pathophysiologic finding,LF
elliptical opacity,opacity,opacity,opacity,procedure,LF
elongation of the descending aorta,elongation,elongation,,,LF
emphysematous lung parenchymal destruction,destruction,destruction,,,LF
engorged central pulmonary vessels,central pulmonary vessels,central pulmonary vessel,cardinal organ part,anatomy,LF
engorged pulmonary vessels,pulmonary vessels,pulmonary vessel,cardinal organ part,anatomy,LF
enlarged cardiomediastinal silhouette,enlarged,enlargement,growth disorder,pathophysiologic finding,LF
enlarged heart,heart,heart,heart,anatomy,LF
enlarged hilar structures,hilar structures,hilum,anatomical space,anatomy,LF
enlarged left thyroid lobe,left thyroid lobe,left thyroid lobe,cardinal organ part,anatomy,LF
enlarged liver,liver,liver,organ,anatomy,LF
enlarged lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
enlarged pulmonary arteries,pulmonary arteries,pulmonary artery,,anatomy,LF
enlarged thyroid,thyroid,thyroid,organ,anatomy,LF
enlargement and distortion of the cardiac silhouette,enlargement and distortion,enlargement and distortion,growth disorder,pathophysiologic finding,LF
enlargement of cardiomediastinal silhouette,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of central pulmonary arteries,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of hila,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the aorta,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the aortic knob,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the azygous vein,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the bilateral hila,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the cardiac silhouette,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the cardiomediastinal contours,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the cardiomediastinal silhouette,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the central pulmonary arteries,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the heart,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the left hilus,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the left pulmonary artery,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the left ventricle,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the pulmonary arteries,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the right hilum,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the right hilus,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
enlargement of the thyroid,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
esophageal abnormalities,abnormalities,abnormality,abnormal,normality,LF
esophageal dilatation,dilatation,dilation,architectural distortion,pathophysiologic finding,LF
esophagus,esophagus,esophagus,,anatomy,LF
evaluation of the left lung base,evaluation,evaluation,,imaging observation,LF
evaluation of the left mid to lower lung,evaluation,evaluation,,imaging observation,LF
extension into the right minor fissure,extension,extension,growth disorder,pathophysiologic finding,LF
extent of opacities,opacities,opacity,opacity,procedure,LF
filling,filling,filling,,imaging observation,LF
findings in the chest,findings,finding,,imaging observation,LF
findings in the lungs,findings,finding,,imaging observation,LF
fissures,fissures,fissure,,anatomy,LF
flattening hemidiaphragms,flattening,flattening,morphology disorder,pathophysiologic finding,LF
flattened hemidiaphragms,hemidiaphragms,hemidiaphragm,organ,anatomy,LF
flattened hemidiphragms,hemidiphragms,hemidiaphragm,organ,anatomy,LF
flattening of the bilateral hemidiaphragms,flattening,flattening,,imaging observation,LF
flattening of the diaphragms,flattening,flattening,,imaging observation,LF
flattening of the hemidiaphragm,flattening,flattening,,imaging observation,LF
flattening of the hemidiaphragms,flattening,flattening,,imaging observation,LF
flattening of the right humeral head,flattening,flattening,,imaging observation,LF
focal infiltrate,infiltrate,infiltrate,enhancement,imaging observation,LF
focal lung abnormalities,abnormalities,abnormality,abnormal,normality,LF
focal narrowing,narrowing,narrowing,,imaging observation,LF
focal opacification,opacification,opacification,opacity,procedure,LF
focal opacifications,opacifications,opacification,opacity,procedure,LF
focal opacities,opacities,opacity,opacity,procedure,LF
focal opacity,opacity,opacity,opacity,procedure,LF
focal parenchymal opacities,opacities,opacity,opacity,procedure,LF
focal parenchymal opacity,opacity,opacity,opacity,procedure,LF
focal pulmonary abnormality,abnormality,abnormality,abnormal,normality,LF
foci,foci,focus,enhancement,imaging observation,LF
fragmentation,fragmentation,fragmentation,,,LF
fullness,fullness,fullness,,imaging observation,LF
fullness in the right hila,fullness,fullness,,imaging observation,LF
fullness in the right lower tracheobronchial angle,fullness,fullness,,imaging observation,LF
fullness of pulmonary vessels,fullness,fullness,,imaging observation,LF
fullness of the pulmonary vessels,fullness,fullness,,imaging observation,LF
fullness of the soft tissues,fullness,fullness,,imaging observation,LF
fullness to the right hilum,fullness,fullness,,imaging observation,LF
gastric distension,distension,distension,growth disorder,pathophysiologic finding,LF
gastric distention,distention,distention,growth disorder,pathophysiologic finding,LF
gastric pull up,pull up,pull up,,,LF
gross interval change,change,change,,imaging observation,LF
haze,haze,haze,,imaging observation,LF
haziness,haziness,haziness,,imaging observation,LF
haziness of the hila,haziness,haziness,,imaging observation,LF
hazy appearance,appearance,appearance,,imaging observation,LF
hazy density,density,density,,imaging observation,LF
hazy densities,densities,density,,imaging observation,LF
hazy opacity,opacity,opacity,opacity,procedure,LF
heart,heart,heart,organ,anatomy,LF
heart appearance,appearance,appearance,,imaging observation,LF
heart border,border,border,anatomic sub-part,anatomy,LF
heart borders,borders,border,anatomic sub-part,anatomy,LF
heart configuration,configuration,configuration,,,LF
heart contours,contours,contour,anatomic sub-part,anatomy,LF
heart contour,contour,contour,anatomic sub-part,anatomy,LF
heart enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
heart shadow,shadow,shadow,,imaging observation,LF
heart size,size,size,measurement,imaging observation,LF
height loss,height loss,height loss,,imaging observation,LF
hemidiaphragm,hemidiaphragm,hemidiaphragm,organ,anatomy,LF
hemidiaphragm elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
hemidiaphragm poor definition,poor definition,poor definition,,imaging observation,LF
hemidiaphragmatic contour,contour,contour,anatomic sub-part,anatomy,LF
hemidiaphragms,hemidiaphragms,hemidiaphragm,organ,anatomy,LF
hemithorax,hemithorax,hemithorax,,anatomy,LF
heterogeneous opacification,opacification,opacification,opacity,procedure,LF
heterogeneous opacities,opacities,opacity,opacity,procedure,LF
high density material,high density material,high density material,,,LF
hilar abnormalities,abnormalities,abnormality,abnormal,normality,LF
hilar abnormality,abnormality,abnormality,abnormal,normality,LF
hilar borders,borders,border,anatomic sub-part,anatomy,LF
hilar contours,contours,contour,anatomic sub-part,anatomy,LF
hilar enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
hilar fullness,fullness,fullness,,imaging observation,LF
hilar haziness,haziness,haziness,,imaging observation,LF
hilar opacification,opacification,opacification,opacity,procedure,LF
hilar opacity,opacity,opacity,opacity,procedure,LF
hilar silhouettes,silhouettes,silhouette,imaging sign,imaging observation,LF
hilar size,size,size,measurement,imaging observation,LF
hilar structures,hilar structures,hilum,anatomical space,anatomy,LF
hilar vasculature,vasculature,vasculature,,,LF
hilar vessels,vessels,vessel,cardinal organ part,anatomy,LF
hilum,hilum,hilum,anatomical space,anatomy,LF
hila,hila,hilum,anatomical space,anatomy,LF
hilus,hilus,hilum,anatomical space,anatomy,LF
humeral head,humeral head,humeral head,,anatomy,LF
hyperdense appearance,appearance,appearance,,imaging observation,LF
hyperexpanded right colonic flexure,right colonic flexure,right colonic flexure,,,LF
hyperinflated chest,chest,chest,,anatomy,LF
hyperlucency,hyperlucency,hyperlucency,,,LF
hyperlucent,hyperlucent,hyperlucent,,,LF
hypertrophic changes,hypertrophic changes,hypertrophic change,,,LF
ill definition of the left heart border,ill definition,ill definition,,imaging observation,LF
ill-defined appearance and fullness,appearance and fullness,appearance and fullness,,imaging observation,LF
ill-defined opacity,opacity,opacity,opacity,procedure,LF
ill-defined vascularity,vascularity,vascularity,,anatomy,LF
impression on the lower cervical trachea,impression,impression,,imaging observation,LF
increased bone density,density,density,,imaging observation,LF
increased density,density,density,,imaging observation,LF
increase density,density,density,,imaging observation,LF
increased density of the liver,density,density,,imaging observation,LF
increase in interstitial structures,interstitial structures,interstitial structure,,anatomy,LF
increased interstitial markings,interstitial markings,interstitial marking,,,LF
increased lucency,lucency,lucency,,imaging observation,LF
increased retrocardiac density,density,density,,imaging observation,LF
indentation,indentation,indentation,,imaging observation,LF
indentation of the cervical trachea,indentation,indentation,,imaging observation,LF
indentation of the left trachea,indentation,indentation,,imaging observation,LF
indistinct pulmonary vasculature,vasculature,vasculature,,,LF
indistinctness of engorged pulmonary vessels,indistinctness,indistinctness,,imaging observation,LF
indistinctness of pulmonary markings,indistinctness,indistinctness,,imaging observation,LF
indistinctness of pulmonary vessels,indistinctness,indistinctness,,imaging observation,LF
indistinctness of the left costophrenic angle,indistinctness,indistinctness,anatomical boundary,anatomy,LF
indistinctness of the pulmonary vasculature,vasculature,vasculature,,anatomy,LF
infil,infil,infiltrate,enhancement,imaging observation,LF
infiltrate,infiltrate,infiltrate,enhancement,imaging observation,LF
infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
infiltrative abnormality,abnormality,abnormality,abnormal,normality,LF
infiltrative pulmonary abnormality,abnormality,abnormality,abnormal,normality,LF
inflated right upper lobe,right upper lobe,right upper lobe,anatomic sub-part,anatomy,LF
inflation,inflation,inflation,,imaging observation,LF
inspiratory lung volumes,inspiratory lung volume,inspiratory lung volume,measurement,imaging observation,LF
internal debris,internal debris,internal debris,,,LF
interstial markings,interstial markings,interstial marking,,imaging observation,LF
interstial opacities,interstial opacities,interstial opacity,opacity,procedure,LF
interstital opacities,interstital opacities,interstital opacity,opacity,procedure,LF
interstitial abnormalities,interstitial abnormalities,interstitial abnormality,abnormal,normality,LF
interstitial abnormality,interstitial abnormality,interstitial abnormality,abnormal,normality,LF
interstitial infiltrates,interstitial infiltrates,interstitial infiltrate,enhancement,imaging observation,LF
interstitial lung markings,interstitial lung markings,interstitial lung marking,respiratory disorder,pathophysiologic finding,LF
interstitial marking,interstitial marking,interstitial marking,,imaging observation,LF
interstitial markings,interstitial markings,interstitial marking,,imaging observation,LF
interstitial opacification,interstitial opacification,interstitial opacification,opacity,procedure,LF
interstitial opacities,interstitial opacities,interstitial opacity,opacity,procedure,LF
interstitial opacity,interstitial opacity,interstitial opacity,opacity,procedure,LF
interstitial prominence,interstitial prominence,interstitial prominence,enhancement,imaging observation,LF
interstitial reticular abnormalities,interstitial reticular abnormalities,interstitial reticular abnormalities,abnormal,normality,LF
interstitial structures,interstitial structures,interstitial structure,,anatomy,LF
interstitial thickening,interstitial thickening,interstitial thickening,growth disorder,pathophysiologic finding,LF
interstitium,interstitium,interstitium,,,LF
interval change,change,change,,imaging observation,LF
interval changes,changes,change,,imaging observation,LF
intrathoracic abnormalities,abnormalities,abnormality,abnormal,normality,LF
intrathoracic abnormality,abnormality,abnormality,abnormal,normality,LF
intravascular volume,volume,volume,measurement,imaging observation,LF
intrinsic diaphragmatic abnormality,abnormality,abnormality,abnormal,normality,LF
irregularity,irregularity,irregularity,,imaging observation,LF
large bowel loops,large bowel loops,large bowel loop,,,LF
large dense right central opacity,opacity,opacity,opacity,procedure,LF
larynx,larynx,larynx,,,LF
lateral aspect left lower chest,lateral aspect left lower chest,lateral aspect left lower chest,,,LF
lateral pleural sinuses,pleural sinuses,pleural sinus,,anatomy,LF
layering,layering,layer,,,LF
left atrial enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
left atrial prominence,prominence,prominence,enhancement,imaging observation,LF
left atrium enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
left basilar opacification,opacification,opacification,opacity,procedure,LF
left basilar opacities,opacities,opacity,opacity,procedure,LF
left basilar opacity,opacity,opacity,opacity,procedure,LF
left cardiac border,border,border,anatomic sub-part,anatomy,LF
left costophrenic angle,left costophrenic angle,left costophrenic angle,anatomical boundary,anatomy,LF
left costophrenic angle blunting,blunting,blunting,anatomical boundary,anatomy,LF
left costophrenic sinus,left costophrenic sinus,left costophrenic sinus,anatomical boundary,anatomy,LF
left costophrenic sulcus,left costophrenic sulcus,left costophrenic sulcus,anatomical boundary,anatomy,LF
left diaphragmatic contour,contour,contour,anatomic sub-part,anatomy,LF
left heart,left heart,left heart,organ,anatomy,LF
left heart border,border,border,anatomic sub-part,anatomy,LF
left heart contour,contour,contour,anatomic sub-part,anatomy,LF
left hemidiaphragm,left hemidiaphragm,left hemidiaphragm,organ,anatomy,LF
left hemidiaphragm elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
